"AddressID","AddressLine1","AddressLine2","City","StateProvinceID","PostalCode","rowguid","ModifiedDate"
"331","419 River Ash Court","#9","Lakewood","37","63301","{69783E0B-5D79-41C6-AF1A-9A7F750A1779}","2012-01-17 00:00:00"
"393","9443 Oaxaca","","Lakewood","9","90712","{212C5D85-931F-4267-B3D3-79DC26A96C6B}","2012-02-03 00:00:00"
"1033","Lakewood Mall","","Lakewood","9","90712","{D28C7FEF-9EA3-458F-A2B9-11964C3CC60B}","2013-05-30 00:00:00"
"11777","8210 Mines Road","","Lakewood","9","90712","{CF03B230-36B6-4CBD-85A6-19027B8AE9FC}","2013-10-17 00:00:00"
"11784","1663 Park Glen Court","","Lakewood","9","90712","{B9DCC8DE-09E8-495B-84CB-764ECB62675C}","2013-10-27 00:00:00"
"12268","3 Oaxaca","","Lakewood","9","90712","{B9835E6C-ADCB-4A72-8EC3-173B119F85B2}","2012-10-06 00:00:00"
"12364","419 River Ash Court","#9","Lakewood","9","90712","{CECD0E2C-413B-4492-BF58-D584F11AE9BA}","2011-08-14 00:00:00"
"12667","8290 Margaret Ct.","","Lakewood","9","90712","{DE9FADA1-073D-46EF-B0DF-E8146F83BC00}","2013-12-04 00:00:00"
"12675","8463 Vista Avenue","","Lakewood","9","90712","{FCA908BF-00C6-4F75-A0D1-D4DCCA15FC57}","2014-03-23 00:00:00"
"12816","1884 Scramble Road","","Lakewood","9","90712","{7CAFB47A-012A-4610-BE84-D5060D56A06B}","2012-06-15 00:00:00"
"13074","5985 Bouncing Road","","Lakewood","9","90712","{5A1FD931-6C03-43BB-B4D5-836B01C347CC}","2014-03-15 00:00:00"
"13453","144 Santa Monica","","Lakewood","9","90712","{8970CDFB-502A-4172-9F0E-297EEE3C1F6B}","2014-04-23 00:00:00"
"13646","3941 Teakwood Dr","","Lakewood","9","90712","{F3F0645E-0DB8-4A8E-AC4A-73C548D0E05B}","2013-04-06 00:00:00"
"14002","6027 Lisa Ann Street","","Lakewood","9","90712","{C2317F21-AAE8-4CA1-92B6-8C2E8B36F763}","2013-08-03 00:00:00"
"14303","5053 Sea Point Way","","Lakewood","9","90712","{2B686212-AA49-4E25-9848-87EAC5296E73}","2013-01-21 00:00:00"
"14360","5473 Sunshine","","Lakewood","9","90712","{254156EB-754C-45B7-B9F9-725CC601FD10}","2013-05-23 00:00:00"
"14512","4207 Madrid Lane","","Lakewood","9","90712","{E8A3B63A-124D-4B8F-8D8B-ADAE8859D850}","2014-06-15 00:00:00"
"14536","9293 Liszt Way","","Lakewood","9","90712","{A1DDB3D7-CDCE-44E1-ABF6-3E7EC45B0606}","2013-10-07 00:00:00"
"14798","1345 Prospect Street","","Lakewood","9","90712","{E73E3044-2615-4ED0-AF82-7359B7D3D600}","2013-12-10 00:00:00"
"14976","9714 Nicholas Drive","","Lakewood","9","90712","{B7796B87-E354-40D3-85FB-C00912ACC1B1}","2013-09-07 00:00:00"
"15049","4714 Zulu Court","","Lakewood","9","90712","{3917B4FD-0520-4254-8B53-A5B84DDD052A}","2013-11-06 00:00:00"
"15155","3680 Wilson Lane","","Lakewood","9","90712","{C0581ACC-E97C-4301-9B17-9F31219EA797}","2013-12-27 00:00:00"
"15380","7798 Longbrood Way","","Lakewood","9","90712","{6C5807B8-001B-4CAD-84A0-D1809F79C409}","2014-03-29 00:00:00"
"15436","165 East Lane Road","","Lakewood","9","90712","{9234AD5E-5DA9-4554-99E5-53003F6D3392}","2013-11-15 00:00:00"
"15495","5637 Teak Court","","Lakewood","9","90712","{6A7902F9-227A-43E2-83B7-3F15CA368B23}","2014-02-02 00:00:00"
"15603","6658 Radar Blvd","","Lakewood","9","90712","{0DBC1CC0-D575-465F-A996-0DB1BA61E91C}","2013-09-01 00:00:00"
"15850","5339 Eagle Peak Avenue","","Lakewood","9","90712","{E47FBD2E-D7FD-4DDE-B29D-EC36C0FE4667}","2013-04-23 00:00:00"
"16127","2079 Wellington Ct","","Lakewood","9","90712","{83E7380C-D2EC-4BE3-829E-52F1A21F1F54}","2014-02-15 00:00:00"
"16447","7346 Lion Circle","","Lakewood","9","90712","{A0FEB37E-D3D7-4BA0-9B70-6AE239102CE2}","2014-05-21 00:00:00"
"16757","24 San Vincente Drive","","Lakewood","9","90712","{83EF6F5C-4357-4EDD-A2B3-49AF26B0B470}","2011-11-29 00:00:00"
"17834","9967 Stroer Lane","","Lakewood","9","90712","{4680A46A-ADC3-47F3-A5D1-39CF39E71CB7}","2012-06-23 00:00:00"
"17956","1925 Poncho Street","","Lakewood","9","90712","{1F7B05A4-359A-433F-A75A-96693FEB18D3}","2013-08-22 00:00:00"
"18176","621 Brandywine Way","","Lakewood","9","90712","{40C1D210-5B8A-43E4-B883-B56B0E5DD851}","2014-02-04 00:00:00"
"18246","1897 Northridge Road","","Lakewood","9","90712","{0E3FAC64-CEBD-4B53-92E7-0BE0E3A6FCE5}","2014-04-29 00:00:00"
"18458","9841 Marsh Meadow Way","","Lakewood","9","90712","{DE9EE6D2-9D16-4E88-B258-74BF55014333}","2013-10-25 00:00:00"
"18553","8869 Climbing Vine Court","","Lakewood","9","90712","{F382E8C3-52E5-45BE-8627-ED57253AF067}","2012-02-20 00:00:00"
"18572","1728 Village Oaks Dr.","","Lakewood","9","90712","{1E2FD84E-8233-4DB8-8D4E-B35FE3135CB2}","2014-02-25 00:00:00"
"18601","9452 Mariposa Ct.","","Lakewood","9","90712","{6CFEDC3D-C3C2-432A-A97A-0EEE0CFCE611}","2013-06-10 00:00:00"
